E,n,k,eps1,eps2,elf
30.8,0.81,0.12,0.65,0.19,0.42
30.9,0.81,0.12,0.65,0.19,0.42
31.0,0.81,0.11,0.65,0.19,0.41
31.1,0.81,0.11,0.65,0.18,0.4
31.2,0.81,0.11,0.65,0.18,0.4
31.3,0.82,0.11,0.65,0.18,0.39
31.4,0.82,0.11,0.65,0.18,0.39
31.5,0.82,0.11,0.66,0.18,0.38
31.6,0.82,0.11,0.66,0.17,0.37
31.7,0.82,0.1,0.66,0.17,0.37
31.8,0.82,0.1,0.66,0.17,0.36
31.9,0.82,0.1,0.66,0.17,0.36
32.0,0.82,0.1,0.66,0.16,0.35
32.1,0.82,0.1,0.67,0.16,0.35
32.2,0.82,0.1,0.67,0.16,0.34
32.3,0.82,0.1,0.67,0.16,0.33
32.4,0.82,0.09,0.67,0.16,0.33
32.5,0.83,0.09,0.67,0.15,0.32
32.6,0.83,0.09,0.67,0.15,0.32
32.7,0.83,0.09,0.68,0.15,0.31
32.8,0.83,0.09,0.68,0.15,0.31
32.9,0.83,0.09,0.68,0.15,0.3
33.0,0.83,0.09,0.68,0.14,0.3
33.1,0.83,0.09,0.68,0.14,0.29
33.2,0.83,0.08,0.68,0.14,0.29
33.3,0.83,0.08,0.69,0.14,0.28
33.4,0.83,0.08,0.69,0.14,0.28
33.5,0.83,0.08,0.69,0.14,0.28
33.6,0.83,0.08,0.69,0.13,0.27
33.7,0.84,0.08,0.69,0.13,0.27
33.8,0.84,0.08,0.69,0.13,0.26
33.9,0.84,0.08,0.7,0.13,0.26
34.0,0.84,0.08,0.7,0.13,0.25
34.1,0.84,0.07,0.7,0.13,0.25
34.2,0.84,0.07,0.7,0.12,0.25
34.3,0.84,0.07,0.7,0.12,0.24
34.4,0.84,0.07,0.7,0.12,0.24
34.5,0.84,0.07,0.7,0.12,0.23
34.6,0.84,0.07,0.71,0.12,0.23
34.7,0.84,0.07,0.71,0.12,0.23
34.8,0.85,0.07,0.71,0.12,0.22
34.9,0.85,0.07,0.71,0.11,0.22
35.0,0.85,0.07,0.71,0.11,0.22
35.1,0.85,0.07,0.71,0.11,0.21
35.2,0.85,0.06,0.72,0.11,0.21
35.3,0.85,0.06,0.72,0.11,0.21
35.4,0.85,0.06,0.72,0.11,0.2
35.5,0.85,0.06,0.72,0.11,0.2
35.6,0.85,0.06,0.72,0.1,0.2
35.7,0.85,0.06,0.72,0.1,0.19
35.8,0.85,0.06,0.73,0.1,0.19
35.9,0.85,0.06,0.73,0.1,0.19
36.0,0.86,0.06,0.73,0.1,0.18
36.1,0.86,0.06,0.73,0.1,0.18
36.2,0.86,0.06,0.73,0.1,0.18
36.3,0.86,0.06,0.73,0.1,0.18
36.4,0.86,0.06,0.73,0.09,0.17
36.5,0.86,0.05,0.74,0.09,0.17
36.6,0.86,0.05,0.74,0.09,0.17
36.7,0.86,0.05,0.74,0.09,0.17
36.8,0.86,0.05,0.74,0.09,0.16
36.9,0.86,0.05,0.74,0.09,0.16
37.0,0.86,0.05,0.74,0.09,0.16
37.1,0.86,0.05,0.74,0.09,0.16
37.2,0.86,0.05,0.75,0.09,0.15
37.3,0.87,0.05,0.75,0.09,0.15
37.4,0.87,0.05,0.75,0.08,0.15
37.5,0.87,0.05,0.75,0.08,0.15
37.6,0.87,0.05,0.75,0.08,0.14
37.7,0.87,0.05,0.75,0.08,0.14
37.8,0.87,0.05,0.75,0.08,0.14
37.9,0.87,0.05,0.75,0.08,0.14
38.0,0.87,0.05,0.76,0.08,0.14
38.1,0.87,0.04,0.76,0.08,0.13
38.2,0.87,0.04,0.76,0.08,0.13
38.3,0.87,0.04,0.76,0.08,0.13
38.4,0.87,0.04,0.76,0.08,0.13
38.5,0.87,0.04,0.76,0.07,0.13
38.6,0.88,0.04,0.76,0.07,0.13
38.7,0.88,0.04,0.77,0.07,0.12
38.8,0.88,0.04,0.77,0.07,0.12
38.9,0.88,0.04,0.77,0.07,0.12
39.0,0.88,0.04,0.77,0.07,0.12
39.1,0.88,0.04,0.77,0.07,0.12
39.2,0.88,0.04,0.77,0.07,0.11
39.3,0.88,0.04,0.77,0.07,0.11
39.4,0.88,0.04,0.77,0.07,0.11
39.5,0.88,0.04,0.78,0.07,0.11
39.6,0.88,0.04,0.78,0.07,0.11
39.7,0.88,0.04,0.78,0.07,0.11
39.8,0.88,0.04,0.78,0.06,0.11
39.9,0.88,0.04,0.78,0.06,0.1
40.0,0.88,0.04,0.78,0.06,0.1
40.1,0.89,0.04,0.78,0.06,0.1
40.2,0.89,0.04,0.78,0.06,0.1
40.3,0.89,0.03,0.78,0.06,0.1
40.4,0.89,0.03,0.79,0.06,0.1
40.5,0.89,0.03,0.79,0.06,0.1
40.6,0.89,0.03,0.79,0.06,0.1
40.7,0.89,0.03,0.79,0.06,0.09
40.8,0.89,0.03,0.79,0.06,0.09
40.9,0.89,0.03,0.79,0.06,0.09
41.0,0.89,0.03,0.79,0.06,0.09
41.1,0.89,0.03,0.79,0.06,0.09
41.2,0.89,0.03,0.79,0.06,0.09
41.3,0.89,0.03,0.8,0.06,0.09
41.4,0.89,0.03,0.8,0.05,0.09
41.5,0.89,0.03,0.8,0.05,0.09
41.6,0.89,0.03,0.8,0.05,0.08
41.7,0.89,0.03,0.8,0.05,0.08
41.8,0.9,0.03,0.8,0.05,0.08
41.9,0.9,0.03,0.8,0.05,0.08
42.0,0.9,0.03,0.8,0.05,0.08
42.1,0.9,0.03,0.8,0.05,0.08
42.2,0.9,0.03,0.8,0.05,0.08
42.3,0.9,0.03,0.81,0.05,0.08
42.4,0.9,0.03,0.81,0.05,0.08
42.5,0.9,0.03,0.81,0.05,0.08
42.6,0.9,0.03,0.81,0.05,0.07
42.7,0.9,0.03,0.81,0.05,0.07
42.8,0.9,0.03,0.81,0.05,0.07
42.9,0.9,0.03,0.81,0.05,0.07
43.0,0.9,0.03,0.81,0.05,0.07
43.1,0.9,0.03,0.81,0.05,0.07
43.2,0.9,0.03,0.81,0.05,0.07
43.3,0.9,0.03,0.82,0.05,0.07
43.4,0.9,0.03,0.82,0.05,0.07
43.5,0.9,0.02,0.82,0.04,0.07
43.6,0.9,0.02,0.82,0.04,0.07
43.7,0.91,0.02,0.82,0.04,0.07
43.8,0.91,0.02,0.82,0.04,0.06
43.9,0.91,0.02,0.82,0.04,0.06
44.0,0.91,0.02,0.82,0.04,0.06
44.1,0.91,0.02,0.82,0.04,0.06
44.2,0.91,0.02,0.82,0.04,0.06
44.3,0.91,0.02,0.82,0.04,0.06
44.4,0.91,0.02,0.82,0.04,0.06
44.5,0.91,0.02,0.83,0.04,0.06
44.6,0.91,0.02,0.83,0.04,0.06
44.7,0.91,0.02,0.83,0.04,0.06
44.8,0.91,0.02,0.83,0.04,0.06
44.9,0.91,0.02,0.83,0.04,0.06
45.0,0.91,0.02,0.83,0.04,0.06
45.1,0.91,0.02,0.83,0.04,0.06
45.2,0.91,0.02,0.83,0.04,0.06
45.3,0.91,0.02,0.83,0.04,0.06
45.4,0.91,0.02,0.83,0.04,0.05
45.5,0.91,0.02,0.83,0.04,0.05
45.6,0.91,0.02,0.83,0.04,0.05
45.7,0.91,0.02,0.84,0.04,0.05
45.8,0.91,0.02,0.84,0.04,0.05
45.9,0.92,0.02,0.84,0.04,0.05
46.0,0.92,0.02,0.84,0.04,0.05
46.1,0.92,0.02,0.84,0.04,0.05
46.2,0.92,0.02,0.84,0.04,0.05
46.3,0.92,0.02,0.84,0.04,0.05
46.4,0.92,0.02,0.84,0.03,0.05
46.5,0.92,0.02,0.84,0.03,0.05
46.6,0.92,0.02,0.84,0.03,0.05
46.7,0.92,0.02,0.84,0.03,0.05
46.8,0.92,0.02,0.84,0.03,0.05
46.9,0.92,0.02,0.84,0.03,0.05
47.0,0.92,0.02,0.85,0.03,0.05
47.1,0.92,0.02,0.85,0.03,0.05
47.2,0.92,0.02,0.85,0.03,0.05
47.3,0.92,0.02,0.85,0.03,0.04
47.4,0.92,0.02,0.85,0.03,0.04
47.5,0.92,0.02,0.85,0.03,0.04
47.6,0.92,0.02,0.85,0.03,0.04
47.7,0.92,0.02,0.85,0.03,0.04
47.8,0.92,0.02,0.85,0.03,0.04
47.9,0.92,0.02,0.85,0.03,0.04
48.0,0.92,0.02,0.85,0.03,0.04
48.1,0.92,0.02,0.85,0.03,0.04
48.2,0.92,0.02,0.85,0.03,0.04
48.3,0.92,0.02,0.85,0.03,0.04
48.4,0.92,0.02,0.85,0.03,0.04
48.5,0.92,0.02,0.86,0.03,0.04
48.6,0.93,0.02,0.86,0.03,0.04
48.7,0.93,0.02,0.86,0.03,0.04
48.8,0.93,0.02,0.86,0.03,0.04
48.9,0.93,0.02,0.86,0.03,0.04
49.0,0.93,0.02,0.86,0.03,0.04
49.1,0.93,0.02,0.86,0.03,0.04
49.2,0.93,0.01,0.86,0.03,0.04
49.3,0.93,0.01,0.86,0.03,0.04
49.4,0.93,0.01,0.86,0.03,0.04
49.5,0.93,0.01,0.86,0.03,0.04
49.6,0.93,0.01,0.86,0.03,0.04
49.7,0.93,0.01,0.86,0.03,0.04
49.8,0.93,0.01,0.86,0.03,0.04
49.9,0.93,0.01,0.86,0.03,0.04
50.0,0.93,0.01,0.86,0.03,0.03
50.1,0.93,0.01,0.86,0.03,0.03
50.2,0.93,0.01,0.87,0.03,0.03
50.3,0.93,0.01,0.87,0.03,0.03
50.4,0.93,0.01,0.87,0.03,0.03
50.5,0.93,0.01,0.87,0.03,0.03
50.6,0.93,0.01,0.87,0.02,0.03
50.7,0.93,0.01,0.87,0.02,0.03
50.8,0.93,0.01,0.87,0.02,0.03
50.9,0.93,0.01,0.87,0.02,0.03
51.0,0.93,0.01,0.87,0.02,0.03
51.1,0.93,0.01,0.87,0.02,0.03
51.2,0.93,0.01,0.87,0.02,0.03
51.3,0.93,0.01,0.87,0.02,0.03
51.4,0.93,0.01,0.87,0.02,0.03
51.5,0.93,0.01,0.87,0.02,0.03
51.6,0.93,0.01,0.87,0.02,0.03
51.7,0.93,0.01,0.87,0.02,0.03
51.8,0.94,0.01,0.87,0.02,0.03
51.9,0.94,0.01,0.87,0.02,0.03
52.0,0.94,0.01,0.88,0.02,0.03
52.1,0.94,0.01,0.88,0.02,0.03
52.2,0.94,0.01,0.88,0.02,0.03
52.3,0.94,0.01,0.88,0.02,0.03
52.4,0.94,0.01,0.88,0.02,0.03
52.5,0.94,0.01,0.88,0.02,0.03
52.6,0.94,0.01,0.88,0.02,0.03
52.7,0.94,0.01,0.88,0.02,0.03
52.8,0.94,0.01,0.88,0.02,0.03
52.9,0.94,0.01,0.88,0.02,0.03
53.0,0.94,0.01,0.88,0.02,0.03
53.1,0.94,0.01,0.88,0.02,0.03
53.2,0.94,0.01,0.88,0.02,0.03
53.3,0.94,0.01,0.88,0.02,0.03
53.4,0.94,0.01,0.88,0.02,0.03
53.5,0.94,0.01,0.88,0.02,0.03
53.6,0.94,0.01,0.88,0.02,0.03
53.7,0.94,0.01,0.88,0.02,0.03
53.8,0.94,0.01,0.88,0.02,0.03
53.9,0.94,0.01,0.88,0.02,0.03
54.0,0.94,0.01,0.88,0.02,0.03
54.1,0.94,0.01,0.89,0.02,0.02
54.2,0.94,0.01,0.89,0.02,0.02
54.3,0.94,0.01,0.89,0.02,0.02
54.4,0.94,0.01,0.89,0.02,0.02
54.5,0.94,0.01,0.89,0.02,0.02
54.6,0.94,0.01,0.89,0.02,0.02
54.7,0.94,0.01,0.89,0.02,0.02
54.8,0.94,0.01,0.89,0.02,0.02
54.9,0.94,0.01,0.89,0.02,0.02
55.0,0.94,0.01,0.89,0.02,0.02
55.1,0.94,0.01,0.89,0.02,0.02
55.2,0.94,0.01,0.89,0.02,0.02
55.3,0.94,0.01,0.89,0.02,0.02
55.4,0.94,0.01,0.89,0.02,0.02
55.5,0.94,0.01,0.89,0.02,0.02
55.6,0.94,0.01,0.89,0.02,0.02
55.7,0.94,0.01,0.89,0.02,0.02
55.8,0.94,0.01,0.89,0.02,0.02
55.9,0.95,0.01,0.89,0.02,0.02
56.0,0.95,0.01,0.89,0.02,0.02
56.1,0.95,0.01,0.89,0.02,0.02
56.2,0.95,0.01,0.89,0.02,0.02
56.3,0.95,0.01,0.89,0.02,0.02
56.4,0.95,0.01,0.9,0.02,0.02
56.5,0.95,0.01,0.9,0.02,0.02
56.6,0.95,0.01,0.9,0.02,0.02
56.7,0.95,0.01,0.9,0.02,0.02
56.8,0.95,0.01,0.9,0.02,0.02
56.9,0.95,0.01,0.9,0.02,0.02
57.0,0.95,0.01,0.9,0.02,0.02
57.1,0.95,0.01,0.9,0.02,0.02
57.2,0.95,0.01,0.9,0.02,0.02
57.3,0.95,0.01,0.9,0.02,0.02
57.4,0.95,0.01,0.9,0.02,0.02
57.5,0.95,0.01,0.9,0.02,0.02
57.6,0.95,0.01,0.9,0.02,0.02
57.7,0.95,0.01,0.9,0.02,0.02
57.8,0.95,0.01,0.9,0.02,0.02
57.9,0.95,0.01,0.9,0.02,0.02
58.0,0.95,0.01,0.9,0.02,0.02
